word,label
xigaal,xig
aabbe,aabbe
cillad,cillad
xafiiska,xafiis
dadaal,dadaal
tashi,tashi
foomka,foom
diin,diin
awoowe,awoow
ayeeyo,ayee 
canab,canab
garaaf,garaaf
caws,caws
qabri,qabri
bariido,barii
tiiraanyo,tiiraan 
dhul,dhul
koox,koox
marti,marti
horseed,hor
kaban,kaban
caado,caado
timo,timo
koofi,koof
koofiyad,koofi
isniin,isniin
khamiis,khamiis
axad,axad
maanta,maan
khudrad,khudrad
moos,moos
baradho,barad
talaado,tal
jimco,jimco
tufaax,tufaax
yaanyo,yaan 
basal,basal
guduud,guduud
caddaan,caddaan
quraac,quraac
casho,cosho
qaxwo,qax
cagaar,cagaar
madow,madow
buluug,buluug
calow,cal
qado,qado
caano,caano
rooti,rooti
gabar,gabar
walaasha,walaal
haweeney,haween
hooyo,hooyo
ayeeyo,ayee 
walaalka,walal
nin,nin
aabe,aabe
awoowe,awoow
wiil,wiil
guri,guri
musqul,musqul
jiko,jiko
qol,qol
miis,miis
bisad,bisad
shimbir,shimbir
ey,ey
sac,sac
jiir,jiir
faras,faras
sharabaadyo,sharabaad 
shaar,shaar
kabo,kabo
funaanad,funaan
surwaal,sur
koodh,kood
boortaqiis,boort
carabi,carab
tagsi,tags
ambalaas,ambalaas
isbitaal,isbit
cusbitaal,cusbit
boliis,boliis
boolis,bool
dhaqtar,dhaqtar
farmashi,farmas
kulaale,kul
soone,soon
sukiini,suki
sannad,sannad
sanad,sanad
deyr,deyr
daash,daash
doon,doon
dhudhun,dhudhun
adduun,adduun
hawl,hawl
eray,eray
dhogor,dhogor
xidid,xidid
