word,label
aad,aad
aan,adeeg
aannu,annu
adaa,adaa
adaan,adaan
adi,adi
adiga,adi
adiyo,adi 
adna,adna
adoo,adoo
adse,ad
aduu,aduu
anba,anba
amba,amba
anaa,anaa
ani,ani
aniga,ani
aniyo,ani 
anna,anna
annaga,annaga
anoo,anoo
anse,an
anuu,anuu
anuun,anuun
ay,ay
aydin,aydin
aynnu,ayn
idin,idin
idinka,idin
idinna,idin
immisa,immi
ina,ina
inna,inna
innaga,inna
innana,inna
isa,isa
isaga,isaga
iya,iya
iyada,iyada
iyaga,iyaga
iyama,iyama
iyana,iya
kaa,kaa
kaaga,kaa
kaas,kaas
kaayaga,kaa
kaayo,kaa 
kan,kan
kay,kay
kayga,kay
kayo,ka 
kee,kee
keeda,kee
keen,keen
keenna,keen
keer,keer
kii,kii
kiin,kiin
kiinna,kiin
kiisa,kii
koo,kooo
kooda,koo
kuma,kuma
kuwa,kuw
kuwaa,kuw
kuwaaga,kuw
kuwaas,kuwaas
kuwama,kuwama
kuwan,kuwan
kuwayaga,kuwa
kuwayga,kuw
kuwee,kuw
kuweeda,kuw
kuweenna,kuw
kuweer,kuweer
kuwii,kuwi
kuwiinna,kuw
kuwiisa,kuwii
kuwo,kuwo
kuwoo,kuw
kuwooda,kuw
meeqa,meqa
ta,ta
taa,taa
taada,taada
taas,taas
taayada,taayo
tan,tan
tayda,tay
tee,tee
teeda,tee
teenna,teen
teer,teer
tii,tii
tiinna,tiin
tiisa,tii
tooda,tooda
tu,tu
tuma,tuma
yaa,yaa
