word,label
waashitoon,waashitoon
landhan,landhan
abdisalam,abdisalam
maxamed,maxamed
mahamed,mahamed
mohammed,mohammed
ali,ali
omar,omar
faadumo,faadumo
addis ababa,addis ababa
jiima,jiima
maqale,maqale
goondar,goondar
walo,walo
jamaame,jamaame
kismaayo,kismaayo
baraawe,baraawe
jalalaqsi,jalalaqsi
muqdisho,muqdisho
xamar,xamar
laascaanood,laascaano
garoowe,garoowe
boosaaso,boosaaso
gaalkacayo,gaalkacayo
ceerigaabo,ceerigaabo
hargaysa,hargaysa
boorama,boorama
jigjiga,jigjiga
qabridahare,qabridahare
goday,god
godey,god
qalaafo,qalaaf
mustaxiil,mustaxiil
fiirfiire,fiirfiir
laanqayrta,laanqayr
alele,ale
cadaadle,cad
cadaado,cadaad
buulo xaawo,buul
balanbale,balan
caabud waaq,caabud
duusomareeb,duus
fiiq,fiiq
dhuxun,dhux
barmiil,barmiil
cayuun,cayuun
iimay,iim
sagag,sagg
dhagaxmadow,dhagax
dhagaxbuur,dhagax
dacawaley,dacawal
yoocaale,yooc
awaare,awaar
guunagado,guu
dig,dig
nusdariiq,nusdar
ananu,ananu
gurdumi,gurdum
waylalaguxidh,waal
buudhley,buudh
buudhlay,buudh
farmadow,farm
gabagabo,gabag
qardho,qard
barbara,borboro
berbera,berbero
saaxil,saaq
ceelafwayen,ceelafwa
hartasheekha,rtasheek
wajaale,wajaal
gabiley,gabil
gabilay,gabil
saylac,saylac
salel,salel
fataax,fataax
farax,farax
farxaan,farx
badel,badel
maxamuud,maxamuud
maxamud,maxamud
fardawsa,fardaw
fardowsa,far
ubax,ubax
ayaan,ayaan
baabili,baab
mayumuluq,mayumuluq
xamaro,xamaro
yaxoob,yax
burtinle,burtin
xaarxaar,xaar
goldogob,goldog
badhan,badh
baydhabo,bayd
xasan,xasan
xamse,xam
axmed,axmed
siciid,sici
muuse,muus
jaamac,jaamac
mustafe,mustaf
