word,label
aqbal,aqbal
weheli,weheli
kasbo,kasbo
fal,fal
biiri,biir
qiro,qiro
geli,geli
qaado,qaad
awood,awood
ciidami,ciidam
oggolow,oggol
ogolow,ogol
alifba,alif
helid,hel
lafagurid,lafgur
bidhaan,bidhaan
cilaaq,cilaaq
dilaaciyey,dilaaci
istaag,istaag
abaabul,abaab
qabanqaabi,qabanqaab
xir,xir
imow,imow
weydii,weydii
kulan,kulan
kaalmee,kaal
dhegi,dheg
dhagan,dhagan
dagaallan,dagaal
dagaalan,dagaal
soojiido,soojii
ka fogow,ka fog
kafogow,kafog
dub,dubb
ciijinay,ciiji
dheelitir,dheelitir
horistaag,horistaag
ahaan,ahaan
ahaw,ahaw
xeeb,xeeb
adkaaw,adkaaw
ladhac,ladhac
ahaw,ahaw
bilaw,bilaw
edebyeelo,edeb
facayso,fac
qallooci,qallooc
sharatan,shoratan
baari,baar
qaniin,qaniin
afuuf,afuuf
karkari,karkari
ammaaho,ammaah
amar,amar
kallif,kallif
booti,booti
bood,bood
boodid,bood
waax,waax
jebi,jebi
jabay,jab
jabsasho,jabso
neefso,neef
dhaq,dhaq
iftiimi,ifti
keen,keen
dhis,dhis
daandaanso,daandaan
cantoob,can
belbel,belbel
bel bel,bel
dilaaci,dilaac
dillaaci,dillaac
kaalay,kaal
orod,orod
orad,orad
soojeedin,soojeed
kac,kac
aas,aas
shintiri,shintir
xisaabi,xisaab
uyeer,uyeer
uyeedh,uyeedh
soowac,soo
kanoqosho,kanoqo
xaadiri,xaadir
isdeji,isdeji
kar,kar
daryeel,daryeel
daadi,daad
beddel,beddel
bedel,bedel
buuxi,buux
hoggaami,hog
ceyri,ceyri
dhagar,dhagar
bogaadi,bogaad
dooro,door
jar,jar
wareejiska,wareejis
